#Peripheral,Internal Signal,FPGA Signal
I2C0,ic_data_oe,i2c0_sda_oe
I2C0,ic_data_in_a,i2c0_sda_i
I2C1,ic_clk_in_a,i2c1_scl_i
I2C1,ic_clk_oe,i2c1_scl_oe
I2C1,ic_data_oe,i2c1_sda_oe
I2C1,ic_data_in_a,i2c1_sda_i
I2CEMAC0,ic_clk_in_a,i2c_emac0_scl_i
I2CEMAC0,ic_clk_oe,i2c_emac0_scl_oe
I2CEMAC0,ic_data_oe,i2c_emac0_sda_oe
I2CEMAC0,ic_data_in_a,i2c_emac0_sda_i
I2CEMAC1,ic_clk_in_a,i2c_emac1_scl_i
I2CEMAC1,ic_clk_oe,i2c_emac1_scl_oe
I2CEMAC1,ic_data_oe,i2c_emac1_sda_oe
I2CEMAC1,ic_data_in_a,i2c_emac1_sda_i
I2CEMAC2,ic_clk_in_a,i2c_emac2_scl_i
I2CEMAC2,ic_clk_oe,i2c_emac2_scl_oe
I2CEMAC2,ic_data_oe,i2c_emac2_sda_oe
I2CEMAC2,ic_data_in_a,i2c_emac2_sda_i
TRACE,clk_ctl,trace_clk_ctl
TRACE,clkin,trace_clkin
TRACE,s2f_clk,trace_s2f_clk
TRACE,d0,trace_data[0]
TRACE,d1,trace_data[1]
TRACE,d2,trace_data[2]
TRACE,d3,trace_data[3]
TRACE,d4,trace_data[4]
TRACE,d5,trace_data[5]
TRACE,d6,trace_data[6]
TRACE,d7,trace_data[7]
TRACE,d8,trace_data[8]
TRACE,d9,trace_data[9]
TRACE,d10,trace_data[10]
TRACE,d11,trace_data[11]
TRACE,d12,trace_data[12]
TRACE,d13,trace_data[13]
TRACE,d14,trace_data[14]
TRACE,d15,trace_data[15]
TRACE,d16,trace_data[16]
TRACE,d17,trace_data[17]
TRACE,d18,trace_data[18]
TRACE,d19,trace_data[19]
TRACE,d20,trace_data[20]
TRACE,d21,trace_data[21]
TRACE,d22,trace_data[22]
TRACE,d23,trace_data[23]
TRACE,d24,trace_data[24]
TRACE,d25,trace_data[25]
TRACE,d26,trace_data[26]
TRACE,d27,trace_data[27]
TRACE,d28,trace_data[28]
TRACE,d29,trace_data[29]
TRACE,d30,trace_data[30]
TRACE,d31,trace_data[31]
